project;plan
token;"8.x-1.7+ is Drupal 9 compatible."
admin_toolbar;"This module is ready for Drupal 9."
pathauto;"8.x-1.7+ is Drupal 9 compatible."
metatag;"Fully compatible as of 8.x-1.13."
entity_reference_revisions;"Compatible with Drupal 9"
webform;"To fully support Drupal 9, the Webform module will be tagging a <a href=""https://www.drupal.org/project/webform/issues/3104460"">6.0.0 release</a>. This release will remove deprecated code, improve APIs, and fix any backward compatibility breaking issues. Learn more about <a href=""https://www.jrockowitz.com/blog/webform-road-to-drupal-9"">a bump in the Webform module's road to Drupal 9</a>."
paragraphs;"8.x-1.x-dev is compatible with Drupal 9."
redirect;"8.x-1.x-dev is Drupal 9 compatible."
captcha;"Captcha 1.1 is now Drupal 9 compatible."
twig_tweak;"Drupal 9 is fully supported since version 2.5."
google_analytics;"Google Analytics 8.x-2.5+ supports Drupal 9."
devel;"Original issue [#3118857] Now moved to <a href=""https://gitlab.com/drupalspoons/devel/-/issues/224"" title=""DrupalSpoons issue #224"">DrupalSpoons issue #224</a>"
simple_sitemap;"Fully compatible with Drupal 9."
better_exposed_filters;"The 8.x-5.x version of BEF is compatible with Drupal 8.8 and later.  We have released our first alpha version which is ready for testing. Please report any issues you find in the issue queue, and we will get to them as soon as possible."
search_api;"This module is fully compatible with Drupal 9."
entity_browser;"This module is Drupal 9 compatible."
video_embed_field;"Where possible, users are encouraged to use core media instead of Video Embed Field, however for existing sites, a Drupal 9 compatible version has already been tagged."
editor_advanced_link;"This module is ready for Drupal 9!"
address;"Compatible since version 8.x-1.8"
embed;"This module is Drupal 9 ready!"
imce;"IMCE FILE MANAGER 8.x-2.2+ supports Drupal 9. Enjoy."
honeypot;"This module is fully compatible with Drupal 9."
libraries;"Latest alpha release works with Drupal 9"
config_filter;"Config Filter 1.x and 2.x are compatible with Drupal 9"
views_infinite_scroll;"This module has a release that is compatible with Drupal 9."
config_update;"Latest release is compatible with Drupal 9"
smtp;"8.x-1.0 and above are D9 compatible."
backup_migrate;"Version 5 is fully compatible with Drupal 9."
blazy;"Blazy 8.x-1.0-rc6+ and 8.x-2.0-rc3+ supports Drupal 9. Enjoy."
colorbox;"This module is Drupal 9 compatible 🍻"
focal_point;"Version >= 8.x-1.4 is compatible with Drupal 9"
block_class;"This module is Drupal 9 compatible 🍻"
swiftmailer;"Swiftmailer 2.x supports Drupal 9"
eu_cookie_compliance;"This module is ready for Drupal 9"
google_tag;"This module is compatible with Drupal 9."
image_widget_crop;"As of version 2.3, this module is compatible with Drupal 9."
slick;"Slick Carousel 8.x-2.0-rc3+ supports Drupal 9. Enjoy."
ds;"This module is ready for Drupal 9 as of 8.x-3.6!"
migrate_plus;"Supports Drupal 8 or 9"
config_split;"Config Split is compatible with Drupal 9 from version 8.x-1.5 onwards"
views_bulk_operations;"Fully supports D8/D9."
easy_breadcrumb;"This module is Drupal 9 compatible"
scheduler;"Read more about this project’s readiness at [#3136831]"
adminimal_admin_toolbar;"This module is ready for Drupal 9!"
externalauth;"This module is compatible with Drupal 9"
xmlsitemap;"This module is Drupal 9 ready! See [#3004330]"
fontawesome;"Drupal 9 compatible"
